Institution_ID,Undergraduate_Enrollment_FTE,Graduate_Enrollment_FTE,Reported_Undergraduate_Enrollment_FTE,Reported_Graduate_Enrollment_FTE,Doctors_Professional_Practice_FTE,Activity_Type,Year
100654,3977.0,828.0,3977.0,828.0,,2,2016
100663,10174.0,4933.0,10174.0,4933.0,1544.0,2,2016
100690,255.0,158.0,255.0,158.0,,2,2016
100706,5290.0,1144.0,5290.0,1144.0,61.0,2,2016
100724,4652.0,394.0,4652.0,394.0,139.0,2,2016
100751,30618.0,3709.0,30618.0,3709.0,658.0,2,2016
100760,1396.0,,1396.0,,,2,2016
100812,2331.0,,2331.0,,,2,2016
100830,3522.0,437.0,3522.0,437.0,,2,2016
100858,21208.0,3418.0,21208.0,3418.0,1135.0,2,2016
100937,1486.0,,1486.0,,,2,2016
101028,1360.0,,1360.0,,,2,2016
101073,387.0,,387.0,,,2,2016
101116,475.0,92.0,475.0,92.0,37.0,2,2016
101143,1445.0,,1445.0,,,2,2016
101161,3838.0,,3838.0,,,2,2016
101189,2594.0,427.0,2594.0,427.0,476.0,2,2016
101240,3898.0,,3898.0,,,2,2016
101277,83.0,,83.0,,,1,2016
101286,3494.0,,3494.0,,,2,2016
101295,4291.0,,4291.0,,,2,2016
101301,1412.0,,1412.0,,,2,2016
101365,375.0,8.0,375.0,8.0,,2,2016
101435,1054.0,,1054.0,,,2,2016
101453,39.0,16.0,39.0,16.0,,2,2016
101462,726.0,,726.0,,,2,2016
101471,561.0,,561.0,,,2,2016
101480,6203.0,652.0,6203.0,652.0,,2,2016
101499,954.0,,954.0,,,2,2016
101505,5664.0,,5664.0,,,2,2016
101514,7013.0,,7013.0,,,2,2016
101541,303.0,,303.0,,,2,2016
101569,2493.0,,2493.0,,,2,2016
101587,1765.0,1356.0,1765.0,1356.0,,2,2016
101602,1391.0,,1391.0,,,2,2016
101648,472.0,,472.0,,,2,2016
101675,1880.0,,1880.0,,,2,2016
101693,1394.0,83.0,1394.0,83.0,,2,2016
101709,2317.0,354.0,2317.0,354.0,,2,2016
101736,2510.0,,2510.0,,,2,2016
101879,5226.0,647.0,5226.0,647.0,,2,2016
101897,1902.0,,1902.0,,,2,2016
101912,1700.0,50.0,1700.0,50.0,,2,2016
101949,1088.0,,1088.0,,,2,2016
101958,21.0,,21.0,,,2,2016
101994,428.0,,428.0,,,2,2016
102030,2351.0,,2351.0,,,2,2016
102049,3346.0,919.0,3346.0,919.0,1197.0,2,2016
102058,210.0,7.0,210.0,7.0,,2,2016
102067,3610.0,,3610.0,,,2,2016
102076,2121.0,,2121.0,,,2,2016
102094,10931.0,4124.0,10931.0,4544.0,300.0,2,2016
102234,1396.0,62.0,1396.0,62.0,,2,2016
102261,122.0,,122.0,,,2,2016
102270,730.0,,730.0,,,2,2016
102298,894.0,,894.0,,,2,2016
102313,1254.0,,1254.0,,,2,2016
102368,11078.0,2420.0,11078.0,2420.0,56.0,2,2016
102377,2460.0,196.0,2460.0,196.0,209.0,2,2016
102395,101.0,163.0,101.0,163.0,,2,2016
102429,2850.0,,2850.0,,,2,2016
102553,10742.0,873.0,10742.0,873.0,,2,2016
102580,26.0,,26.0,,,2,2016
102614,5152.0,773.0,5152.0,773.0,,2,2016
102632,1367.0,322.0,1367.0,322.0,,2,2016
